,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2
03-01-2021 10.00,6661.037165,7587.839657,1.361413077,3.357331756,4813.515987,3863.229581,0.988602383,2.437956732
03-01-2021 11.00,6659.593441,7586.987873,1.364093555,3.363941986,4811.554178,3859.360367,0.990203413,2.441904975
03-01-2021 12.00,6661.631733,7606.240445,1.366001458,3.368646999,4811.53798,3867.408877,0.991298117,2.444604585
03-01-2021 13.00,6662.425592,7580.778027,1.362724437,3.360565654,4820.026843,3867.542219,0.990507684,2.442655325
03-01-2021 14.00,6660.566683,7592.529367,1.364588446,3.36516242,4818.628887,3873.743214,0.991878371,2.446035527
03-01-2021 15.00,6659.649591,7572.692066,1.362975142,3.36118391,4816.469949,3859.62913,0.99031449,2.442178896
03-01-2021 16.00,6658.571421,7571.219138,1.3631765,3.36168047,4809.999237,3848.662802,0.989223814,2.43948922
03-01-2021 17.00,6658.753191,7576.080146,1.364574734,3.365128604,4803.636079,3839.328531,0.988822576,2.438499741
03-01-2021 18.00,6660.097606,7556.866616,1.360820134,3.355869522,4804.52958,3829.624447,0.986042933,2.431644965
03-01-2021 19.00,6658.339443,7555.303833,1.360147744,3.354211365,4798.44347,3820.44144,0.984586065,2.428052235
03-01-2021 20.00,6655.390459,7558.165383,1.361440235,3.35739873,4804.642323,3836.019672,0.987234302,2.434582955
03-01-2021 21.00,6656.312922,7574.626654,1.363598588,3.362721367,4814.411287,3860.926432,0.990784274,2.443337414
03-01-2021 22.00,6651.724703,7567.524173,1.363658798,3.36286985,4808.25034,3851.64457,0.990200083,2.441896762
03-01-2021 23.00,6655.495312,7558.81364,1.363952984,3.363595331,4820.113227,3861.814218,0.992156497,2.446721404
04-01-2021 0.00,6656.570869,7543.392216,1.360296097,3.354577212,4837.140586,3883.023981,0.992950075,2.448678418
04-01-2021 1.00,6660.31068,7564.751396,1.362134599,3.359111076,4830.722706,3879.273791,0.992430211,2.447396401
04-01-2021 2.00,6658.438171,7547.310422,1.361708262,3.358059703,4838.927729,3885.441939,0.993984028,2.451228212
04-01-2021 3.00,6656.023065,7559.548194,1.363294105,3.361970494,4854.743708,3923.116136,0.998820252,2.463154649
04-01-2021 4.00,6653.196847,7539.536715,1.359328758,3.352191692,4859.538871,3925.049627,0.997353749,2.459538159
04-01-2021 5.00,6655.313291,7547.47813,1.361121164,3.356611881,4827.578568,3870.02617,0.991658201,2.445492573
04-01-2021 6.00,6657.124399,7548.546584,1.363132859,3.36157285,4844.548009,3896.705765,0.996259809,2.456840434
04-01-2021 7.00,6657.620804,7545.021641,1.362436472,3.359855514,4841.139688,3888.092633,0.994928504,2.453557351
04-01-2021 8.00,6659.554854,7560.615592,1.363344729,3.362095336,4867.400716,3941.476056,1.000919745,2.468332134
04-01-2021 9.00,6659.96646,7570.145818,1.365184102,3.366631347,4867.38815,3945.964784,1.002264146,2.471647513
04-01-2021 10.00,6660.9334,7554.462851,1.364066157,3.363874421,4849.947313,3904.621968,0.997570981,2.460073869
04-01-2021 11.00,6659.636697,7546.330173,1.361606298,3.357808253,4856.352461,3914.118326,0.997311074,2.45943292
04-01-2021 12.00,6658.481793,7547.208298,1.361095543,3.356548697,4865.351198,3932.533965,0.999044578,2.463707852
04-01-2021 13.00,6659.854153,7546.211387,1.360803804,3.35582925,4869.468412,3937.614232,0.999454282,2.46471821
04-01-2021 14.00,6659.944428,7546.912676,1.36180094,3.358288252,4879.169204,3954.644468,1.002184437,2.471450946
04-01-2021 15.00,6658.260516,7551.6196,1.362092205,3.35900653,4870.223604,3943.842209,1.000799448,2.468035473
04-01-2021 16.00,6659.813488,7559.283819,1.365529086,3.367482099,4868.934809,3942.309348,1.002758982,2.472867811
04-01-2021 17.00,6663.698523,7549.789182,1.361534664,3.357631598,4883.683612,3960.214176,1.002468391,2.472151195
04-01-2021 18.00,6663.141092,7568.215866,1.364933837,3.366014176,4886.287504,3974.95181,1.005516067,2.479666958
04-01-2021 19.00,6661.658644,7567.227548,1.365563526,3.367567031,4902.524898,4004.735438,1.009569355,2.489662626
04-01-2021 20.00,6660.534109,7561.002479,1.365823181,3.368207356,4884.033178,3968.976459,1.00593521,2.480700592
04-01-2021 21.00,6657.475026,7543.554727,1.36156326,3.357702119,4889.342825,3973.842114,1.004343676,2.476775767
04-01-2021 22.00,6655.965146,7545.752668,1.364109818,3.363982093,4899.23183,3993.301841,1.008459944,2.486926748
04-01-2021 23.00,6654.335856,7555.860299,1.364587183,3.365159305,4902.720848,4007.83035,1.009837802,2.490324634
05-01-2021 0.00,6658.813402,7543.409809,1.362719263,3.360552896,4915.055164,4017.013744,1.010381702,2.491665927
05-01-2021 1.00,6659.063242,7559.151454,1.363373939,3.362167369,4918.577892,4032.92428,1.011744588,2.49502689
05-01-2021 2.00,6660.280975,7539.258855,1.360451774,3.354961123,4906.815885,3999.195208,1.006917436,2.483122824
05-01-2021 3.00,6659.147904,7553.038142,1.364117072,3.363999981,4894.332107,3985.022276,1.007154574,2.483707621
05-01-2021 4.00,6657.585312,7543.75873,1.360507453,3.35509843,4892.948513,3980.900078,1.004543887,2.477269502
05-01-2021 5.00,6659.062554,7554.264687,1.363535101,3.362564804,4885.314284,3970.425167,1.00495875,2.478292578
05-01-2021 6.00,6657.550343,7556.338117,1.363684773,3.362933906,4876.75485,3958.372289,1.003515734,2.474734009
05-01-2021 7.00,6383.660033,6939.240202,1.307092164,3.223372911,4861.474838,3921.159969,0.998034246,2.461216308
05-01-2021 8.00,6382.657201,6964.42697,1.310426832,3.231596415,4848.960233,3915.392149,0.998177242,2.461568947
05-01-2021 9.00,6381.731553,6942.811806,1.308090793,3.225835592,4841.968268,3891.172185,0.995002061,2.453738748
05-01-2021 10.00,6380.180128,6941.327184,1.308470451,3.226771855,4851.390064,3908.551542,0.997457593,2.459794247
05-01-2021 11.00,6377.621113,6963.80402,1.3108285,3.232586954,4863.698957,3947.425276,1.002254396,2.471623469
05-01-2021 12.00,6379.037084,6931.802839,1.306474765,3.221850365,4862.151636,3923.483836,0.998304887,2.461883727
05-01-2021 13.00,6377.606964,6945.757993,1.307218814,3.223685236,4869.400422,3947.412457,1.000750255,2.467914162
05-01-2021 14.00,6376.299326,6946.505252,1.306666554,3.222323328,4865.503368,3943.062876,0.999767389,2.465490352
05-01-2021 15.00,6374.138384,6933.792545,1.305770916,3.220114627,4859.816698,3927.910695,0.99823291,2.461706228
05-01-2021 16.00,6370.940362,6947.726191,1.309291297,3.228796112,4870.244097,3958.057549,1.003585091,2.474905048
05-01-2021 17.00,6370.944525,6953.878292,1.309308165,3.228837709,4868.870224,3959.66869,1.00333488,2.474288012
05-01-2021 18.00,6372.620898,6952.447456,1.308445238,3.226709676,4884.193822,3984.089368,1.005622156,2.479928581
05-01-2021 19.00,6373.599154,6933.207745,1.305133165,3.218541892,4865.825559,3939.029967,0.99906949,2.463769288
05-01-2021 20.00,6373.732249,6958.813371,1.308059713,3.225758949,4858.876101,3941.834848,0.999841872,2.46567403
05-01-2021 21.00,6377.325479,6951.158286,1.307482511,3.224335531,4869.239092,3950.612436,1.0009608,2.46843338
05-01-2021 22.00,6374.775394,6965.794189,1.308794694,3.227571459,4864.845924,3955.450889,1.001554415,2.469897272
05-01-2021 23.00,6373.517575,6963.131274,1.308179344,3.226053966,4849.16111,3927.860466,0.998047365,2.461248662
06-01-2021 0.00,6373.258743,6971.447766,1.310015438,3.230581891,0,,,
06-01-2021 1.00,6374.47283,6953.775715,1.306949396,3.223020835,0,,,
06-01-2021 2.00,6373.772402,6969.040135,1.309210096,3.228595866,0,,,
06-01-2021 3.00,6374.109212,6961.307442,1.307492166,3.224359341,0,,,
06-01-2021 4.00,6374.062008,6949.796544,1.306180257,3.22112409,0,,,
06-01-2021 5.00,6368.03878,6945.317896,1.306326338,3.221484334,0,,,
06-01-2021 6.00,6366.038756,6955.707008,1.306964701,3.223058579,0,,,
06-01-2021 7.00,6365.264426,6946.669113,1.306793357,3.222636033,0,,,
06-01-2021 8.00,6365.514672,6938.716729,1.304407163,3.216751525,0,,,
06-01-2021 9.00,6363.600055,6949.33542,1.306120652,3.2209771,0,,,
06-01-2021 10.00,6361.863602,6946.421266,1.304923687,3.218025308,0,,,
06-01-2021 11.00,6364.268661,6973.263249,1.308065852,3.225774087,0,,,
06-01-2021 12.00,6368.352432,6976.989148,1.308665608,3.227253124,0,,,
06-01-2021 13.00,6370.114812,6977.630684,1.307825655,3.225181745,0,,,
06-01-2021 14.00,6365.800502,6960.236121,1.307060173,3.223294018,0,,,
06-01-2021 15.00,6363.877618,6963.952512,1.306141862,3.221029405,0,,,
06-01-2021 16.00,6363.893029,6974.840376,1.308519647,3.226893175,0,,,
06-01-2021 17.00,6364.979537,6955.831063,1.304199693,3.216239891,0,,,
06-01-2021 18.00,6364.483867,6970.723861,1.306130396,3.221001128,0,,,
06-01-2021 19.00,6365.681345,6956.750496,1.305051767,3.218341159,0,,,
06-01-2021 20.00,6363.992937,6966.710523,1.304567467,3.217146847,0,,,
06-01-2021 21.00,6365.388058,6975.567607,1.306537579,3.222005268,0,,,
06-01-2021 22.00,6365.955291,6972.465142,1.305874959,3.220371204,0,,,
06-01-2021 23.00,6368.719588,6980.606995,1.305294282,3.218939217,0,,,
07-01-2021 0.00,6373.584058,6989.632297,1.307036111,3.223234681,0,,,
07-01-2021 1.00,6376.232567,7014.351124,1.309379739,3.229014215,0,,,
07-01-2021 2.00,6376.158876,7016.234368,1.311340289,3.233849057,0,,,
07-01-2021 3.00,6374.440718,7002.899023,1.308948577,3.227950944,0,,,
07-01-2021 4.00,6374.35522,7016.419961,1.309712143,3.229833946,0,,,
07-01-2021 5.00,6373.175218,6997.510123,1.308878237,3.227777479,0,,,
07-01-2021 6.00,6374.31348,7000.335612,1.306575152,3.222097925,0,,,
07-01-2021 7.00,6375.384136,6998.320583,1.306351422,3.221546194,0,,,
07-01-2021 8.00,6372.992606,7012.221305,1.30853382,3.226928127,0,,,
07-01-2021 9.00,6372.587803,7009.345769,1.30893622,3.227920471,0,,,
07-01-2021 10.00,6371.346619,6985.919349,1.305799679,3.220185558,0,,,
07-01-2021 11.00,6372.786589,7008.763644,1.309625872,3.229621195,0,,,
07-01-2021 12.00,6376.804233,7008.912687,1.306821814,3.222706211,0,,,
07-01-2021 13.00,6378.319035,7035.074976,1.311841226,3.235084401,0,,,
07-01-2021 14.00,6378.654939,7003.067924,1.307464675,3.224291546,0,,,
07-01-2021 15.00,6377.566799,7025.526598,1.311655999,3.234627619,0,,,
07-01-2021 16.00,6382.41247,7027.658239,1.310629101,3.232095223,0,,,
07-01-2021 17.00,6381.58153,7034.517184,1.312451209,3.236588657,0,,,
07-01-2021 18.00,6381.812251,7024.948206,1.3105903,3.231999538,0,,,
07-01-2021 19.00,6380.652774,7037.832085,1.312146649,3.235837592,0,,,
07-01-2021 20.00,6382.624389,7028.068079,1.310595641,3.232012708,0,,,
07-01-2021 21.00,6382.747855,7027.961895,1.310392771,3.231512418,0,,,
07-01-2021 22.00,6384.811234,7033.94862,1.310083434,3.230749573,0,,,
07-01-2021 23.00,6387.870825,7039.204997,1.311005987,3.233024648,0,,,
08-01-2021 0.00,6382.443374,7033.670633,1.312099261,3.235720732,0,,,
08-01-2021 1.00,6381.414478,7023.616793,1.309381573,3.229018739,0,,,
08-01-2021 2.00,6381.529708,7031.000091,1.310576921,3.231966544,0,,,
08-01-2021 3.00,6381.600256,7025.46904,1.308981934,3.228033205,0,,,
08-01-2021 4.00,6382.241958,7039.956293,1.312452002,3.236590615,0,,,
08-01-2021 5.00,6381.869992,7022.639609,1.311206439,3.233518975,0,,,
08-01-2021 6.00,6380.867032,7026.584566,1.309684879,3.229766712,0,,,
08-01-2021 7.00,6379.539976,7016.781587,1.310881487,3.232717622,0,,,
08-01-2021 8.00,6380.519976,7015.791015,1.309418807,3.22911056,0,,,
08-01-2021 9.00,6379.30273,7015.892876,1.310575816,3.231963818,0,,,
08-01-2021 10.00,6379.595956,7023.262321,1.310159698,3.230937646,0,,,
08-01-2021 11.00,6381.594993,7001.913094,1.308285588,3.22631597,0,,,
08-01-2021 12.00,6384.652811,7021.00063,1.308873006,3.227764581,0,,,
08-01-2021 13.00,6386.751789,7032.611005,1.31155258,3.234372581,0,,,
08-01-2021 14.00,6382.851304,7018.65868,1.310634464,3.232108449,0,,,
08-01-2021 15.00,6381.853459,7011.188564,1.310100496,3.23079165,0,,,
08-01-2021 16.00,6383.152266,7016.893684,1.310095426,3.230779145,0,,,
08-01-2021 17.00,6381.905126,7000.986234,1.308472693,3.226777383,0,,,
08-01-2021 18.00,6381.357585,6990.319668,1.307466417,3.224295843,0,,,
08-01-2021 19.00,6381.442441,7009.078367,1.309004304,3.228088371,0,,,
08-01-2021 20.00,6382.595078,7006.63843,1.310957105,3.232904102,0,,,
08-01-2021 21.00,6380.709177,6995.368736,1.308814792,3.227621021,0,,,
08-01-2021 22.00,6380.78483,6992.83975,1.307584614,3.224587324,0,,,
08-01-2021 23.00,6380.742987,6994.209973,1.307640069,3.224724079,0,,,
09-01-2021 0.00,6378.528725,6978.450467,1.307137265,3.223484131,0,,,
09-01-2021 1.00,6376.492956,6978.15206,1.30743688,3.224223002,0,,,
09-01-2021 2.00,6375.630749,6988.493702,1.310710864,3.232296855,0,,,
09-01-2021 3.00,6374.318436,6974.363675,1.307732649,3.224952387,0,,,
09-01-2021 4.00,6377.26166,6988.850613,1.311011992,3.233039456,0,,,
09-01-2021 5.00,6375.686252,6968.84727,1.307095797,3.22338187,0,,,
09-01-2021 6.00,6375.367349,6969.768605,1.306743395,3.222512824,0,,,
09-01-2021 7.00,6377.900133,6978.271844,1.309517627,3.229354257,7807.373387,10234.93336,1.580367881,3.897288314
09-01-2021 8.00,6373.659421,6969.694163,1.30720813,3.22365889,7818.365277,10261.14564,1.580628856,3.897931895
09-01-2021 9.00,6371.790636,6946.66782,1.305287906,3.218923495,7832.506434,10270.38746,1.581661879,3.900479395
09-01-2021 10.00,6373.571987,6962.384616,1.307977382,3.225555914,7820.563507,10259.72668,1.582489669,3.902520778
09-01-2021 11.00,6373.974447,6967.402317,1.309906084,3.230312217,7826.126517,10280.94809,1.585929646,3.911003981
09-01-2021 12.00,6374.758661,6952.000916,1.307483486,3.224337935,7817.99468,10237.07861,1.581387417,3.899802555
09-01-2021 13.00,6655.426752,7564.896455,1.362322095,3.359573452,7817.433054,10234.20904,1.581317651,3.899630507
09-01-2021 14.00,6656.885117,7579.279491,1.363067493,3.361411653,7804.630258,10217.49582,1.579474608,3.895085445
09-01-2021 15.00,6657.325331,7577.46476,1.362149558,3.359147966,7795.565336,10191.28549,1.576566492,3.887913844
09-01-2021 16.00,6658.349316,7584.126302,1.365369179,3.367087757,7799.015459,10207.2817,1.58075713,3.898248227
09-01-2021 17.00,6658.720484,7554.241011,1.360809194,3.355842542,7807.227798,10186.31666,1.576951265,3.88886272
09-01-2021 18.00,6665.291269,7590.692877,1.364259768,3.36435188,7792.515826,10178.3486,1.576653922,3.888129452
09-01-2021 19.00,6664.411296,7584.27838,1.364897216,3.365923867,0,,,
09-01-2021 20.00,6664.416571,7587.618362,1.366502016,3.369881405,0,,,
09-01-2021 21.00,6664.055295,7572.036726,1.361834718,3.358371552,0,,,
09-01-2021 22.00,6664.580657,7567.927699,1.363067457,3.361411564,0,,,
09-01-2021 23.00,6664.829705,7590.839593,1.367007315,3.371127506,0,,,
10-01-2021 0.00,6665.637757,7580.411871,1.365187641,3.366640073,10000,15815.00396,1.964740679,4.845176227
10-01-2021 1.00,6662.795081,7584.687135,1.364908337,3.365951293,9984.19805,15789.73127,1.962247799,4.839028625
10-01-2021 2.00,6659.584845,7547.588065,1.361453869,3.357432352,9987.635995,15743.3419,1.959050757,4.831144515
10-01-2021 3.00,6658.630233,7579.478793,1.365739189,3.368000226,9994.926979,15829.12486,1.966481389,4.84946893
10-01-2021 4.00,6659.030759,7564.224093,1.363643595,3.362832356,9962.173848,15709.48972,1.958000595,4.82855475
10-01-2021 5.00,6654.261781,7555.141099,1.364416621,3.364738689,9963.368489,15720.69061,1.961011963,4.835980974
10-01-2021 6.00,6652.639711,7538.378049,1.360781255,3.355773644,9970.18291,15708.65456,1.95715718,4.826474833
10-01-2021 7.00,6652.213678,7546.227781,1.363833876,3.363301601,9976.258106,15746.91436,1.962716592,4.8401847
10-01-2021 8.00,6652.587539,7538.273697,1.361491095,3.357524153,9993.823523,15771.53535,1.961759018,4.837823259
10-01-2021 9.00,6651.1441,7520.294764,1.359339479,3.352218131,9999.106904,15757.2693,1.960022176,4.833540098
10-01-2021 10.00,6650.797892,7542.691508,1.363153391,3.361623482,10000,15806.94231,1.965727113,4.847608837
10-01-2021 11.00,6653.549564,7542.530546,1.363361749,3.362137307,10000,15796.86896,1.965453454,4.846933975
10-01-2021 12.00,6652.870733,7553.050876,1.364894225,3.36591649,10000,15821.18118,1.967920741,4.853018464
10-01-2021 13.00,6655.5838,7549.826393,1.362295512,3.359507897,10000,15796.64269,1.963045171,4.840994997
10-01-2021 14.00,6655.031287,7536.773459,1.360700412,3.35557428,10000,15774.05893,1.961131429,4.836275585
10-01-2021 15.00,6654.482467,7546.576773,1.362881541,3.360953082,10000,15797.55658,1.964479135,4.844531244
10-01-2021 16.00,6653.082278,7540.462837,1.363676185,3.362912727,10000,15795.62794,1.966230491,4.848850199
10-01-2021 17.00,6656.194628,7546.469289,1.361505623,3.357559981,9981.101425,15736.0451,1.958826422,4.830591292
10-01-2021 18.00,6655.076187,7529.903812,1.360820682,3.355870874,9976.798713,15701.80618,1.957836562,4.828150233
10-01-2021 19.00,6651.540565,7543.851372,1.364377906,3.364643215,9969.754172,15729.07204,1.962815815,4.84042939
10-01-2021 20.00,6647.3807,7536.299623,1.362606401,3.360274571,9964.473757,15715.04731,1.960431011,4.834548311
10-01-2021 21.00,6648.879287,7519.318015,1.359073382,3.35156192,9965.605432,15675.88419,1.955145443,4.821513761
10-01-2021 22.00,6649.90702,7524.451443,1.359380092,3.352318287,9965.564446,15680.92867,1.955329006,4.821966439
10-01-2021 23.00,6650.813338,7534.71682,1.361348781,3.357173198,9966.312111,15700.69509,1.958097522,4.828793776
11-01-2021 0.00,6647.838225,7529.320064,1.36093636,3.356156143,9973.968403,15724.05381,1.959702841,4.832752596
11-01-2021 1.00,6644.709519,7526.548008,1.361333412,3.357135297,9993.294244,15786.14752,1.964533867,4.844666215
11-01-2021 2.00,6646.625931,7531.711118,1.361733412,3.358121722,9977.214587,15743.10526,1.961698885,4.837674969
11-01-2021 3.00,6645.860683,7539.332743,1.363447794,3.3623495,9974.015665,15754.08235,1.963750062,4.842733302
11-01-2021 4.00,6646.782357,7548.972165,1.363292869,3.361967445,9961.329893,15730.87684,1.960854543,4.835592766
11-01-2021 5.00,6648.734092,7523.901332,1.360152538,3.354223186,9962.316733,15678.51182,1.956399352,4.82460598
11-01-2021 6.00,6648.995537,7548.564966,1.362479368,3.3599613,9960.950682,15718.68343,1.959122754,4.831322065
11-01-2021 7.00,6647.071472,7510.212727,1.358382365,3.349857828,9953.558588,15635.19776,1.952931459,4.816053936
11-01-2021 8.00,6646.80984,7510.76383,1.358469116,3.350071761,9951.978055,15632.25722,1.952766491,4.815647112
11-01-2021 9.00,6645.194688,7544.184058,1.362374349,3.359702316,9943.283274,15679.42495,1.957140488,4.826433669
11-01-2021 10.00,6648.614488,7531.474165,1.359977909,3.353792542,9958.249387,15680.10613,1.955508548,4.822409201
11-01-2021 11.00,6649.458429,7537.031593,1.361008384,3.356333757,9964.05693,15704.28874,1.957786701,4.828027272
11-01-2021 12.00,6644.882078,7543.283844,1.36331416,3.36201995,9967.239622,15747.587,1.963012208,4.840913708
11-01-2021 13.00,6645.369236,7545.223887,1.36270179,3.360509807,9968.578969,15749.95776,1.961981907,4.838372919
11-01-2021 14.00,6648.250117,7549.168969,1.362459016,3.359911109,9985.209703,15788.72943,1.963598747,4.84236015
11-01-2021 15.00,6647.883791,7556.485296,1.362387196,3.359733997,9980.338608,15788.32737,1.962603453,4.839905691
11-01-2021 16.00,6649.896883,7542.626875,1.359530529,3.352689272,9992.682954,15782.56361,1.959866674,4.833156618
11-01-2021 17.00,6648.400612,7548.013257,1.361571531,3.357722514,10000,15823.22188,1.964617474,4.844872397
11-01-2021 18.00,6645.177295,7545.978414,1.362301662,3.359523066,10000,15835.47007,1.966663426,4.849917846
11-01-2021 19.00,6645.683548,7565.295342,1.363685146,3.362934824,10000,15867.16788,1.968089928,4.85343569
11-01-2021 20.00,6648.84023,7542.101512,1.360154729,3.35422859,10000,15807.34611,1.962261937,4.83906349
11-01-2021 21.00,6650.757714,7541.52685,1.359641838,3.352963769,9988.592643,15767.21882,1.959186476,4.831479206
