Unnamed: 0,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,THERMAL_EFF,DATE_TIME
01-01-2021 20.00,0.0,0.0,0.0,7940.92909,6925.162673,1.01986783,2.61350717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 21.00,0.0,0.0,0.0,7941.428507,6927.650904,1.020572185,2.615312146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 22.00,0.0,0.0,0.0,7937.59491,6904.168304,1.01719697,2.606662842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 23.00,0.0,0.0,0.0,7947.241423,6935.361959,1.020795196,2.615883635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 0.00,0.0,0.0,0.0,7951.756899,6922.562616,1.018644911,2.610373326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 1.00,0.0,0.0,0.0,7960.793935,6916.145724,1.018350396,2.609618603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 2.00,0.0,0.0,0.0,7956.97443,6899.648573,1.016302965,2.604371869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 3.00,0.0,0.0,0.0,7952.524321,6922.803579,1.020136054,2.614194519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 4.00,0.0,0.0,0.0,7952.297629,6895.867591,1.016335233,2.604454559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 5.00,0.0,0.0,0.0,7952.638506,6898.999774,1.018075147,2.608913251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 6.00,0.0,0.0,0.0,7950.208259,6915.555273,1.019382598,2.612263719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 7.00,0.0,0.0,0.0,7945.366355,6913.001415,1.020315693,2.614654861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 8.00,0.0,0.0,0.0,7940.443754,6860.1677,1.015012278,2.601064363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 9.00,0.0,0.0,0.0,7941.915436,6898.800181,1.02071669,2.615682455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 10.00,0.0,0.0,0.0,7944.692445,6899.240979,1.020680072,2.615588617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 11.00,0.0,0.0,0.0,7941.102124,6850.234841,1.014902747,2.600783679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 12.00,0.0,0.0,0.0,7941.01157,6868.569618,1.018170535,2.609157692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 13.00,0.0,0.0,0.0,7938.003491,6863.945064,1.01681553,2.605685366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 14.00,0.0,0.0,0.0,7939.936032,6855.330496,1.017261858,2.606829123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 15.00,0.0,0.0,0.0,7937.204333,6858.139521,1.018664515,2.610423562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 16.00,0.0,0.0,0.0,7935.816409,6858.868727,1.018974567,2.611218102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 17.00,0.0,0.0,0.0,7937.016663,6824.150997,1.014637786,2.600104691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 18.00,0.0,0.0,0.0,7933.566155,6836.088278,1.017657258,2.607842373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 19.00,0.0,0.0,0.0,7937.931775,6832.931695,1.017649661,2.607822904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 20.00,0.0,0.0,0.0,7942.846797,6829.304108,1.016508028,2.604897361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 21.00,0.0,0.0,0.0,7935.69712,6794.202655,1.014042064,2.598578099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 22.00,0.0,0.0,0.0,7932.119968,6808.580036,1.016018256,2.603642276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
02-01-2021 23.00,0.0,0.0,0.0,7935.545988,6808.173463,1.016418142,2.604667021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 0.00,0.0,0.0,0.0,7944.360606,6825.829287,1.018806677,2.610787866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 1.00,0.0,0.0,0.0,7941.992539,6800.735632,1.016292311,2.604344567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 2.00,0.0,0.0,0.0,7943.241589,6802.487642,1.017660884,2.607851664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 3.00,0.0,0.0,0.0,7943.755813,6794.020478,1.017366991,2.607098535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 4.00,0.0,0.0,0.0,7937.956751,6804.090264,1.020512119,2.615158222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 5.00,0.0,0.0,0.0,7937.276324,6790.850953,1.020022286,2.613902979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 6.00,0.0,0.0,0.0,7935.522409,6772.528609,1.016835986,2.605737785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 7.00,0.0,0.0,0.0,7935.652413,6745.94737,1.014521034,2.599805503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 8.00,0.0,0.0,0.0,7929.385055,6748.583995,1.016217057,2.604151722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 9.00,0.0,0.0,0.0,7934.25764,6759.131197,1.017546675,2.607558994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 10.00,0.0,0.0,0.0,7934.438951,6734.111013,1.014333895,2.599325941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 11.00,0.0,0.0,0.0,7941.185579,6760.374446,1.019642031,2.612928541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 12.00,0.0,0.0,0.0,7941.322857,6758.436814,1.020281927,2.614568334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 13.00,0.0,0.0,0.0,7935.390788,6733.394025,1.017386854,2.607149436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
03-01-2021 14.00,0.0,0.0,0.0,7935.903151,6726.028284,1.016948505,2.606026125,0.0,0.0,0.0,0.0,8427.165342,7388.079403,1.042058106,2.670371838,,0.0
03-01-2021 15.00,0.0,0.0,0.0,7935.304107,6734.514476,1.019983864,2.613804518,0.0,0.0,0.0,0.0,8422.197176,7389.549534,1.044544527,2.676743527,,0.0
03-01-2021 16.00,0.0,0.0,0.0,7938.027641,6701.991659,1.014497879,2.599746168,0.0,0.0,0.0,0.0,8418.426982,7343.493657,1.038179064,2.660431429,,0.0
03-01-2021 17.00,0.0,0.0,0.0,7937.310794,6687.630536,1.014368967,2.599415817,0.0,0.0,0.0,0.0,8421.512572,7332.992114,1.03843522,2.661087852,,0.0
03-01-2021 18.00,0.0,0.0,0.0,7939.8907,6730.734474,1.020530049,2.615204169,0.0,0.0,0.0,0.0,8404.330307,7348.791731,1.042507974,2.671524668,,0.0
03-01-2021 19.00,0.0,0.0,0.0,7938.011136,6714.585347,1.019116334,2.611581392,0.0,0.0,0.0,0.0,8404.590697,7334.704739,1.041345786,2.668546452,,0.0
03-01-2021 20.00,0.0,0.0,0.0,7944.193018,6685.233293,1.015494943,2.602301238,0.0,0.0,0.0,0.0,8403.253051,7289.224415,1.036655499,2.65652715,,0.0
03-01-2021 21.00,0.0,0.0,0.0,7952.084738,6715.439992,1.018828264,2.610843186,0.0,0.0,0.0,0.0,8417.629337,7331.189249,1.040686555,2.666857111,,0.0
03-01-2021 22.00,0.0,0.0,0.0,7949.32447,6708.855374,1.018026767,2.608789275,0.0,0.0,0.0,0.0,8419.355223,7330.945426,1.040269349,2.66578798,,0.0
03-01-2021 23.00,0.0,0.0,0.0,7943.571057,6669.055473,1.014947214,2.600897629,0.0,0.0,0.0,0.0,8411.703671,7284.12093,1.036879457,2.657101063,,0.0
04-01-2021 0.00,0.0,0.0,0.0,8032.905691,6829.212271,1.028310586,2.635142526,0.0,0.0,0.0,0.0,8405.524453,7298.670073,1.039301591,2.66330801,,0.0
04-01-2021 1.00,0.0,0.0,0.0,8034.846609,6841.950333,1.031078189,2.642234769,0.0,0.0,0.0,0.0,8414.058149,7321.288273,1.042692807,2.671998319,,0.0
04-01-2021 2.00,0.0,0.0,0.0,8039.528127,6821.176729,1.02753282,2.633149428,0.0,0.0,0.0,0.0,8407.749172,7281.772209,1.037977699,2.659915412,,0.0
04-01-2021 3.00,0.0,0.0,0.0,8038.861503,6831.346596,1.029786483,2.638924651,0.0,0.0,0.0,0.0,8391.929607,7268.957538,1.038590603,2.661486036,,0.0
04-01-2021 4.00,0.0,0.0,0.0,8036.770914,6833.463265,1.030107293,2.639746757,0.0,0.0,0.0,0.0,8393.442983,7276.836064,1.039337475,2.663399965,,0.0
04-01-2021 5.00,0.0,0.0,0.0,8034.763507,6826.954155,1.030243953,2.640096962,0.0,0.0,0.0,0.0,8381.252848,7253.604112,1.038324945,2.660805262,,0.0
04-01-2021 6.00,0.0,0.0,0.0,8035.711537,6805.527772,1.028521356,2.635682644,0.0,0.0,0.0,0.0,8360.450985,7196.562943,1.034212838,2.650267601,,0.0
04-01-2021 7.00,0.0,0.0,0.0,8039.339971,6812.744579,1.02886817,2.636571388,0.0,0.0,0.0,0.0,8360.483844,7198.54477,1.034170976,2.650160326,,0.0
04-01-2021 8.00,0.0,0.0,0.0,8035.099814,6787.694929,1.025139577,2.627016517,0.0,0.0,0.0,0.0,8360.219344,7178.498406,1.030862194,2.641681263,,0.0
04-01-2021 9.00,0.0,0.0,0.0,8041.00934,6805.393921,1.027973374,2.634278389,0.0,0.0,0.0,0.0,8369.572852,7201.360312,1.033982438,2.649677181,,0.0
04-01-2021 10.00,0.0,0.0,0.0,8047.957461,6839.347881,1.032236049,2.645201894,0.0,0.0,0.0,0.0,8378.611589,7240.322999,1.038539426,2.661354892,,0.0
04-01-2021 11.00,0.0,0.0,0.0,8046.187992,6818.368607,1.030893142,2.641760568,0.0,0.0,0.0,0.0,8378.820402,7220.585485,1.037403532,2.658444054,,0.0
04-01-2021 12.00,0.0,0.0,0.0,8047.577119,6822.191015,1.030600247,2.641009999,0.0,0.0,0.0,0.0,8368.727235,7207.225083,1.035886287,2.654555972,,0.0
04-01-2021 13.00,0.0,0.0,0.0,8045.363911,6800.460322,1.028314118,2.635151578,0.0,0.0,0.0,0.0,8354.456823,7165.514953,1.032270324,2.645289728,,0.0
04-01-2021 14.00,0.0,0.0,0.0,8041.352203,6794.827597,1.027354719,2.632693028,0.0,0.0,0.0,0.0,8363.748535,7180.565286,1.032757067,2.646537052,,0.0
04-01-2021 15.00,0.0,0.0,0.0,8044.576334,6825.902475,1.032058182,2.644746094,0.0,0.0,0.0,0.0,8358.1283,7199.228407,1.036439635,2.655973978,,0.0
04-01-2021 16.00,0.0,0.0,0.0,8035.278666,6787.164486,1.027645309,2.633437691,0.0,0.0,0.0,0.0,8354.706477,7168.311564,1.032724304,2.646453094,,0.0
04-01-2021 17.00,0.0,0.0,0.0,8042.3589,6795.760102,1.028845101,2.636512272,0.0,0.0,0.0,0.0,8357.587114,7169.955444,1.033411043,2.648212928,,0.0
04-01-2021 18.00,0.0,0.0,0.0,8038.121246,6777.0406,1.026595498,2.630747452,0.0,0.0,0.0,0.0,8356.931066,7156.064217,1.031546496,2.643434851,,0.0
04-01-2021 19.00,0.0,0.0,0.0,8028.562184,6781.146949,1.028404381,2.635382886,0.0,0.0,0.0,0.0,8352.249697,7168.357501,1.033870525,2.649390392,,0.0
04-01-2021 20.00,0.0,0.0,0.0,8041.489303,6811.709141,1.031484762,2.643276651,0.0,0.0,0.0,0.0,8350.360286,7176.465912,1.035215496,2.652837007,,0.0
04-01-2021 21.00,0.0,0.0,0.0,8040.760792,6797.503817,1.028946384,2.636771818,0.0,0.0,0.0,0.0,8340.410247,7147.051538,1.031576808,2.643512529,,0.0
04-01-2021 22.00,0.0,0.0,0.0,8040.188033,6818.692265,1.031458626,2.643209675,0.0,0.0,0.0,0.0,8338.177968,7167.503004,1.034012953,2.649755377,,0.0
04-01-2021 23.00,0.0,0.0,0.0,8038.021117,6787.959602,1.027758073,2.63372666,9188.740861,8563.386417,1.135971766,2.91103442,8339.467098,7140.583214,1.030758417,2.641415325,35.05124679348265,0.0
05-01-2021 0.00,0.0,0.0,0.0,8039.096455,6811.611705,1.030316221,2.640282155,9173.662647,8565.849625,1.136984159,2.913628772,8340.182444,7165.136543,1.033296218,2.647918677,35.03010978431491,0.0
05-01-2021 1.00,0.0,0.0,0.0,8033.725487,6794.381652,1.028879643,2.636600789,9177.161932,8560.240763,1.13641664,2.912174451,8331.139206,7141.487571,1.031418946,2.64310799,35.024654650541436,0.0
05-01-2021 2.00,0.0,0.0,0.0,8032.552649,6788.314585,1.026658143,2.630907987,9180.515502,8560.312852,1.134472852,2.907193311,8351.693545,7169.72936,1.031622283,2.64362906,35.08496080588767,0.0
05-01-2021 3.00,0.0,0.0,0.0,8029.239336,6789.393832,1.028674813,2.636075893,9188.297253,8580.824427,1.137886247,2.915940456,8341.595468,7159.788669,1.03283145,2.646727665,35.06352980392708,0.0
05-01-2021 4.00,0.0,0.0,0.0,8030.339235,6783.41324,1.026620922,2.630812605,9190.690953,8574.673718,1.135665786,2.910250317,8346.148288,7159.357269,1.031142283,2.642399016,35.10690366822857,0.0
05-01-2021 5.00,0.0,0.0,0.0,8026.321563,6788.417153,1.02815203,2.634736211,9184.659357,8579.126519,1.137260071,2.914335822,8352.359768,7180.671997,1.033816143,2.649251035,35.075893878490426,0.0
05-01-2021 6.00,0.0,0.0,0.0,8030.687185,6803.752475,1.029463874,2.638097936,9194.565353,8606.070544,1.139174252,2.91924109,8363.436004,7207.149549,1.035850978,2.654465489,35.12693100224208,0.0
05-01-2021 7.00,0.0,0.0,0.0,8030.109573,6783.833904,1.025638167,2.628294201,9210.063725,8607.364439,1.136673367,2.912832338,8357.213308,7178.226122,1.03149475,2.643302245,35.209509382746404,0.0
05-01-2021 8.00,0.0,0.0,0.0,8021.54484,6779.783374,1.025107628,2.626934647,9206.747083,8613.406046,1.136841995,2.913264463,8354.971099,7184.841515,1.031707626,2.64384776,35.228997038476074,0.0
05-01-2021 9.00,0.0,0.0,0.0,8021.239072,6789.782929,1.025635635,2.628287714,9217.482969,8643.475773,1.138506547,2.917530034,8352.937606,7192.859482,1.031993137,2.64457941,35.30029648253028,0.0
05-01-2021 10.00,0.0,0.0,0.0,8020.304246,6782.55535,1.025339529,2.627528913,9211.332716,8625.95696,1.13760451,2.915218479,8349.113232,7180.318504,1.031336364,2.642896368,35.256682774193976,0.0
05-01-2021 11.00,0.0,0.0,0.0,8023.217513,6785.710634,1.025660167,2.628350578,9199.708528,8605.125512,1.136318442,2.91192281,8349.54884,7179.295898,1.031342521,2.642912145,35.211345473215644,0.0
05-01-2021 12.00,0.0,0.0,0.0,8023.898598,6802.233159,1.026849288,2.631397812,9206.139995,8635.25152,1.138256797,2.916890025,8366.332098,7222.770845,1.034400934,2.650749617,35.27444633415775,0.0
05-01-2021 13.00,0.0,0.0,0.0,8029.741023,6829.094789,1.029961643,2.639373514,9209.801284,8663.570991,1.14130619,2.924704384,8361.58593,7234.631764,1.036358735,2.655766665,35.29557261604013,0.0
05-01-2021 14.00,0.0,0.0,0.0,8026.05994,6820.650098,1.027958518,2.63424032,9223.094624,8681.878358,1.141006533,2.923936484,8362.362253,7234.009807,1.034959202,2.652180231,35.37944631133587,0.0
05-01-2021 15.00,0.0,0.0,0.0,8025.228355,6843.104014,1.029803548,2.638968382,9237.233329,8734.848377,1.144641538,2.933251525,8381.907632,7290.336189,1.039086474,2.662756751,35.48226499444299,0.0
05-01-2021 16.00,0.0,0.0,0.0,8020.753381,6795.769656,1.024127841,2.624423848,9226.756333,8666.059698,1.137724014,2.915524721,8375.290612,7236.677943,1.03311867,2.647463695,35.41687330634971,0.0
05-01-2021 17.00,0.0,0.0,0.0,8023.258298,6821.713664,1.026172086,2.62966242,9227.427802,8694.904008,1.139738239,2.920686359,8364.895767,7244.647308,1.033745864,2.649070937,35.471956130743735,0.0
05-01-2021 18.00,0.0,0.0,0.0,8025.260606,6830.668665,1.026713713,2.631050389,9232.219891,8709.914562,1.140583777,2.92285313,8380.034099,7274.486305,1.035671282,2.654005003,35.50685209595431,0.0
05-01-2021 19.00,0.0,0.0,0.0,8023.574756,6817.113782,1.024173259,2.624540239,9232.750666,8696.524211,1.138011842,2.916262305,8379.461241,7262.224066,1.033223613,2.647732621,35.53238796743528,0.0
05-01-2021 20.00,0.0,0.0,0.0,8034.444704,6868.983119,1.030869637,2.641700337,9237.921741,8749.57976,1.14458671,2.933111024,8384.469044,7306.972472,1.039188771,2.663018899,35.54380862120513,0.0
05-01-2021 21.00,0.0,0.0,0.0,8034.105688,6876.634362,1.030892902,2.641759955,9251.620568,8782.564295,1.1461087,2.937011266,8397.938498,7337.462861,1.040748607,2.667016125,35.63042436668326,0.0
05-01-2021 22.00,0.0,0.0,0.0,8024.875151,6836.802222,1.025081352,2.62686731,9243.94259,8737.634368,1.140083213,2.921570389,8431.103157,7362.656438,1.03960022,2.664073276,35.63549392707673,0.0
05-01-2021 23.00,0.0,0.0,0.0,8023.325377,6863.695885,1.02780458,2.63384584,9246.648611,8779.226042,1.14358499,2.930544023,8426.021577,7387.029435,1.042032315,2.670305747,35.695482027367284,0.0
06-01-2021 0.00,0.0,0.0,0.0,8020.902262,6847.43383,1.02544906,2.627809598,9235.850158,8745.171407,1.140067168,2.921529272,8417.506858,7360.285655,1.038989998,2.662509524,35.66673488004419,0.0
06-01-2021 1.00,0.0,0.0,0.0,8022.317032,6854.252553,1.024743108,2.626000528,9226.65855,8736.213395,1.138176923,2.916685342,8428.149483,7382.841201,1.039308748,2.66332635,35.68937349378301,0.0
06-01-2021 2.00,0.0,0.0,0.0,8026.51326,6874.24669,1.026491583,2.630481161,9231.379517,8760.774473,1.140067009,2.921528864,8432.325378,7404.536583,1.041128351,2.667989255,35.73037617087409,0.0
06-01-2021 3.00,0.0,0.0,0.0,8024.464374,6869.022549,1.025956277,2.629109388,9221.23504,8741.835867,1.138732304,2.918108556,8432.514797,7402.780886,1.040872255,2.667332985,35.69492496553843,0.0
06-01-2021 4.00,0.0,0.0,0.0,8019.576796,6869.309691,1.025190005,2.627145745,9220.165469,8750.363012,1.138492758,2.917494699,8431.864862,7411.379577,1.040726767,2.666960158,35.73726101989981,0.0
06-01-2021 5.00,0.0,0.0,0.0,8021.64367,6903.847551,1.029536144,2.638283133,9227.03342,8802.014936,1.143812529,2.93112711,8428.652184,7440.743395,1.044647552,2.677007537,35.78102011494011,0.0
06-01-2021 6.00,0.0,0.0,0.0,8026.632417,6900.718069,1.026934425,2.631615985,9220.62377,8777.146974,1.139566605,2.920246533,8405.128385,7392.862381,1.038937874,2.662375951,35.81286975583213,0.0
06-01-2021 7.00,0.0,0.0,0.0,8018.240662,6878.578775,1.02364123,2.623176862,9218.285174,8761.028473,1.136621619,2.91269973,8399.039521,7374.053075,1.035920596,2.654643894,35.83972311969868,0.0
06-01-2021 8.00,0.0,0.0,0.0,8018.763262,6898.150653,1.027282601,2.632508218,9219.442672,8786.656036,1.140664147,2.923059087,8405.137398,7403.115692,1.040122797,2.665412428,35.81717269740699,0.0
06-01-2021 9.00,0.0,0.0,0.0,8018.63851,6891.26018,1.025120667,2.626968058,9226.414027,8789.023372,1.138940836,2.918642939,8398.178373,7385.240746,1.03714806,2.657789386,35.8810316276659,0.0
06-01-2021 10.00,0.0,0.0,0.0,8022.597783,6925.683766,1.029420491,2.637986762,9234.317802,8838.486727,1.144147148,2.931984603,8387.30035,7399.116205,1.039941551,2.664947967,35.91877345022931,0.0
06-01-2021 11.00,0.0,0.0,0.0,8032.84245,6962.625587,1.031756687,2.643973484,9227.272196,8853.427485,1.144673888,2.933334425,8398.946367,7440.829099,1.042396461,2.671238906,35.96293473807544,0.0
06-01-2021 12.00,0.0,0.0,0.0,8032.197842,6926.575112,1.025953835,2.629103132,9217.98581,8793.349174,1.137288107,2.914407667,8386.199384,7383.506667,1.035206844,2.652814836,35.950860308096225,0.0
06-01-2021 13.00,0.0,0.0,0.0,8032.692449,6965.885857,1.030571825,2.640937165,9235.528185,8871.721773,1.144265389,2.932287607,8375.943118,7409.352275,1.03875705,2.661912573,36.050111960432616,0.0
06-01-2021 14.00,0.0,0.0,0.0,8029.121644,6940.290271,1.027198473,2.632292633,9233.026044,8842.372707,1.140727968,2.923222633,8383.501098,7399.855236,1.036565023,2.656295297,36.042274774955935,0.0
06-01-2021 15.00,0.0,0.0,0.0,8028.902837,6957.242573,1.027885106,2.634052195,9234.253904,8866.078204,1.141607798,2.92547728,8379.513224,7412.822872,1.036887919,2.657122749,36.11104840306428,0.0
06-01-2021 16.00,0.0,0.0,0.0,8036.037089,6996.117981,1.032324796,2.645429316,9232.846572,8898.787942,1.145468037,2.935369508,8390.454625,7459.922218,1.041738596,2.669553065,36.12212979317422,0.0
06-01-2021 17.00,0.0,0.0,0.0,8041.324651,6995.489055,1.03109642,2.642281488,9223.291059,8871.643922,1.142417401,2.927551966,8396.951701,7460.884785,1.040576915,2.666576149,36.1081101929563,0.0
06-01-2021 18.00,0.0,0.0,0.0,8045.830176,7013.509604,1.033090552,2.647391639,9229.780924,8896.17139,1.144797791,2.933651939,8395.750088,7470.660666,1.041956822,2.670112288,36.13265087936516,0.0
06-01-2021 19.00,0.0,0.0,0.0,8042.518941,6983.453029,1.027685004,2.633539415,9239.020478,8879.815347,1.140142241,2.921721653,8405.940308,7461.244272,1.038026306,2.660039972,36.21348866692898,0.0
06-01-2021 20.00,0.0,0.0,0.0,8038.390645,6998.105336,1.029569864,2.638369545,9250.042342,8925.039142,1.143919309,2.931400745,8410.065614,7490.967313,1.040913469,2.667438599,36.277738416060046,0.0
06-01-2021 21.00,0.0,0.0,0.0,8036.824449,7011.538294,1.03159151,2.643550203,9256.801944,8956.356968,1.147068254,2.939470213,8403.149029,7497.116161,1.04239961,2.671246974,36.305096920031,0.0
06-01-2021 22.00,0.0,0.0,0.0,8030.958613,6987.135855,1.027034343,2.631872033,9257.475226,8937.820466,1.142771815,2.928460184,8382.923412,7449.501924,1.036243811,2.65547216,36.36617066563456,0.0
06-01-2021 23.00,0.0,0.0,0.0,8030.527644,7005.773548,1.030306453,2.640257123,9266.763429,8977.891458,1.147395852,2.940309712,8387.937147,7477.479751,1.040084715,2.665314838,36.38199763726944,0.0
07-01-2021 0.00,0.0,0.0,0.0,8031.387763,7026.938077,1.031346726,2.64292292,9267.924991,9004.63151,1.148512341,2.943170822,8374.812695,7479.016503,1.039705384,2.664342768,36.45488607679506,0.0
